00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.083,0.24,0.504,0.661,0.676,0.637,0.541,0.386,0.174,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.026,0.1,0.212,0.272,0.375,0.523,0.5,0.352,0.159,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.043,0.087,0.176,0.384,0.508,0.427,0.272,0.178,0.089,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.023,0.052,0.112,0.211,0.308,0.467,0.35,0.251,0.13,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.067,0.165,0.298,0.249,0.375,0.415,0.354,0.301,0.09,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.305,0.504,0.635,0.692,0.653,0.583,0.405,0.195,0.071,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.312,0.504,0.631,0.699,0.711,0.67,0.576,0.426,0.219,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.289,0.482,0.613,0.681,0.696,0.66,0.571,0.426,0.223,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.297,0.49,0.618,0.683,0.695,0.658,0.57,0.428,0.229,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.317,0.507,0.635,0.698,0.709,0.672,0.584,0.442,0.243,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.201,0.459,0.595,0.659,0.626,0.405,0.401,0.336,0.15,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
